display_bar,bar_index,slot_16th,written_lane,midi,t_notation_s,t_stem_s,verdict
57,56,13.0,Ride (middle),51,272.4107,313.2634,ABSENT
57,56,14.0,Ride (middle),51,272.6786,313.5344,ABSENT
57,56,15.0,Ride (middle),51,272.9464,313.8054,ABSENT
57,56,16.0,Ride (middle),51,273.2143,314.0763,CONFIRMED
57,56,19.0,Ride (middle),51,274.0179,314.8893,ABSENT
61,60,11.0,Ride (middle),51,291.1607,332.2721,ABSENT
61,60,14.0,Ride (middle),51,291.9643,333.0852,ABSENT
61,60,15.0,Ride (middle),51,292.2321,333.3562,ABSENT
61,60,17.0,Ride (middle),51,292.7679,333.8982,ABSENT
61,60,18.0,Ride (middle),51,293.0357,334.1693,CONFIRMED
63,62,15.0,Ride (middle),51,301.8750,343.1055,ABSENT
63,62,17.0,Ride (middle),51,302.4107,343.6462,ABSENT
63,62,18.0,Ride (middle),51,302.6786,343.9166,ABSENT
65,64,11.0,Ride (middle),51,310.4464,351.7393,ABSENT
65,64,14.0,Ride (middle),51,311.2500,352.5592,ABSENT
65,64,15.0,Ride (middle),51,311.5179,352.8325,ABSENT
65,64,16.0,Ride (middle),51,311.7857,353.1059,ABSENT
65,64,17.0,Ride (middle),51,312.0536,353.3792,ABSENT
73,72,8.0,Ride (middle),51,348.2143,390.0411,ABSENT
73,72,9.0,Ride (middle),51,348.4821,390.3123,ABSENT
73,72,10.0,Ride (middle),51,348.7500,390.5835,ABSENT
79,78,10.0,Ride (middle),51,377.6786,419.8743,ABSENT
79,78,12.0,Ride (middle),51,378.2143,420.4168,ABSENT
81,80,3.0,Ride (middle),51,385.4464,427.7190,ABSENT
81,80,4.0,Ride (middle),51,385.7143,427.9913,ABSENT
81,80,7.0,Ride (middle),51,386.5179,428.8080,ABSENT
81,80,8.0,Ride (middle),51,386.7857,429.0802,ABSENT
81,80,9.0,Ride (middle),51,387.0536,429.3525,ABSENT
81,80,10.0,Ride (middle),51,387.3214,429.6247,ABSENT
83,82,3.0,Ride (middle),51,395.0893,437.5197,ABSENT
83,82,4.0,Ride (middle),51,395.3571,437.7919,CONFIRMED
83,82,6.0,Ride (middle),51,395.8929,438.3364,CONFIRMED
83,82,7.0,Ride (middle),51,396.1607,438.6086,ABSENT
83,82,8.0,Ride (middle),51,396.4286,438.8809,ABSENT
85,84,1.0,Ride (middle),51,404.1964,446.7759,ABSENT
85,84,2.0,Ride (middle),51,404.4643,447.0481,ABSENT
85,84,4.0,Ride (middle),51,405.0000,447.5926,ABSENT
85,84,6.0,Ride (middle),51,405.5357,448.1371,CONFIRMED
85,84,7.0,Ride (middle),51,405.8036,448.4093,AMBIGUOUS
85,84,8.0,Ride (middle),51,406.0714,448.6816,ABSENT
89,88,2.0,Ride (middle),51,423.7500,466.5573,ABSENT
89,88,3.0,Ride (middle),51,424.0179,466.8280,ABSENT
89,88,4.0,Ride (middle),51,424.2857,467.0988,ABSENT
89,88,18.0,Ride (middle),51,428.0357,470.8894,ABSENT
